Village_name,Population,Distance_to_Bus_Stop_Km,Distance_to_Meerut,Road_Paved,Has_Direct_Transport
Gyanpur,2500,2.5,15,1,0
Pachpeda,5000,0.2,13,1,1
Aurangabad,8000,0.5,13,1,1
Bhawanpur,4000,0.1,12,1,1
Rukanpur,3000,1.0,16,1,1
Morna,1500,1.0,17,1,0
Kastla,5000,0.3,18,1,1
Nangla Sahu,5000,0.5,16,1,1
Jae,7000,0.2,16,1,1
Khwajahnpur,500,1.5,14,1,0
Syal,4000,0.2,15,0,1
Ladpura,2000,1.5,14,1,0
Gawri,1000,0.1,11,1,1
Medpur,2000,1.0,12,1,0
Chhilora,3000,0.3,11,1,1
Nangla Shekhu,4000,0.2,10,1,1
Bhoodpur,1000,1.0,8,1,0
Shahzadpur,1500,3.0,15,0,0
Khajoori,7000,0.4,18,1,1
Lalpur,1000,2.0,17,1,0
